project_name
acc-atoot-bandhan
acc-dealer-connect-prod
adani-capital
adani-ind-acchelp
adani-inventory-analytics-dev
adani-inventory-analytics-prod
adl-billing-export
adl-host-prj
adl-sa-core-infra-project
adl-sa-secret-project
adl-sa-svc-dev
adl-svc-dev
adl-svc-dmz-dev
adl-svc-dmz-prod
adl-svc-prod
aeml-billing-export
aeml-datalake-common-infra
aeml-datalake-host
aeml-datalake-non-prod
aeml-datalake-prod
aeml-host-prj
aeml-svc-dev
aeml-svc-dev-migrated
aeml-svc-dr-migrated
aeml-svc-prod
aeml-svc-prod-migrated
aeml-svc-qa
aeml-svc-qa-migrated
aeml-svc-soh-dev-migrated
aeml-svc-soh-dr-migrated
aeml-svc-soh-prod
aeml-svc-soh-qa
agel-billing-export
agel-host-prj
agel-svc-archival-prod
agel-svc-ceodashbd-dev
agel-svc-ceodashbd-prod
agel-svc-dev
agel-svc-dev-migrated
agel-svc-dgr-dev
agel-svc-dgr-prod
agel-svc-dmz-prd-migrated
agel-svc-dmz-prod-ipms
agel-svc-dmz-prod-swf
agel-svc-dmz-qa-ipms
agel-svc-dmz-shorttermf-prod
agel-svc-dmz-shorttermf-qa
agel-svc-dr-migrated
agel-svc-fortim-prod
agel-svc-ftp-dmz-prod
agel-svc-goldfire-prod
agel-svc-ipms-dev-360607
agel-svc-ipms-prod
agel-svc-ipms-qa
agel-svc-moast4-prod
agel-svc-moast4-qa
agel-svc-moast4-qa-318204
agel-svc-msrpt-prod
agel-svc-prod
agel-svc-prod-migrated
agel-svc-qa
agel-svc-qa-migrated
agel-svc-rpa-prod
agel-svc-shorttermf-dev
agel-svc-shorttermf-prod
agel-svc-shorttermf-qa
agel-svc-snop-dev
agel-svc-soh-dev
agel-svc-soh-dr-migrated
agel-svc-soh-prod
agel-svc-soh-prod-migrated
agel-svc-soh-qa
agel-svc-soh-qa-migrated
agel-svc-swf-dmz-prod
agel-svc-swf-prod
agel-svc-tha-dev
agel-svc-tha-prod
agel-svc-winddata-dmz-prod
agel-svc-windresource-dmz-prod
airport-host-prj-18032021
airport-svc-dev
airport-svc-dev-migrated
airport-svc-dmz-prj-migrated
airport-svc-dmz-prod-migrated
airport-svc-dr-migrated
airport-svc-prod
airport-svc-prod-migrated
airport-svc-qa
airport-svc-qa-migrated
airport-svc-soh-dev
airport-svc-soh-dr-migrated
airport-svc-soh-prod
airport-svc-soh-qa
airports-billing-export
ambuja-dealer-connect-mock-01
ambuja-dealer-connect-prod
amiable-port-353912
anil-host-prj
anil-svc-soh-dev
anil-svc-soh-prod
anil-svc-soh-qa
anil-svc-soh-qa-sandbox
apac-ind-acc-wbi-uat-382605
apac-ind-acl-wbi-uat-382605
apac-ind-adc-acc-prod-382605
apac-ind-bog-prod
apac-ind-bog-uat
apsez-billing-export
apsez-host-prj
apsez-svc-dev
apsez-svc-dev-datalake
apsez-svc-dev-migrated
apsez-svc-dmz-dev
apsez-svc-dmz-iportman
apsez-svc-dmz-itup
apsez-svc-dmz-itup-dr
apsez-svc-dmz-prd-prj-migrated
apsez-svc-dmz-prod
apsez-svc-dmz-prod-iportman
apsez-svc-dmz-prod-iportman-dr
apsez-svc-dmz-uat-itup
apsez-svc-dr-migrated
apsez-svc-gos-prod
apsez-svc-gos-uat-369711
apsez-svc-prod
apsez-svc-prod-datalake
apsez-svc-prod-iportman
apsez-svc-prod-iportman-dr
apsez-svc-prod-itup
apsez-svc-prod-itup-dr
apsez-svc-prod-migrated
apsez-svc-qa
apsez-svc-qa-migrated
apsez-svc-soh-dev
apsez-svc-soh-dev-migrated
